user_id,product_id,refunded,purchase_date,country_code,media_source
2512509,tenwords_1w_7.99_7free,FALSE,2020-09-17,US,Facebook Ads
2458730,tenwords_1w_9.99_offer,FALSE,2020-09-12,RO,Facebook Ads
2012470,tenwords_1w_9.99_offer,FALSE,2020-09-03,US,Facebook Ads
2275127,tenwords_1w_9.99_offer,FALSE,2020-09-01,PL,Facebook Ads
2275127,tenwords_1w_9.99_offer,FALSE,2020-08-18,PL,Facebook Ads
2069849,tenwords_1w_9.99_offer,FALSE,2020-09-13,RE,Facebook Ads
2069849,tenwords_1w_9.99_offer,FALSE,2020-09-06,RE,Facebook Ads
2310563,tenwords_1w_9.99_offer,FALSE,2020-09-06,CA,Facebook Ads
2069849,tenwords_1w_9.99_offer,FALSE,2020-08-30,RE,Facebook Ads
2069849,tenwords_1w_9.99_offer,FALSE,2020-08-23,RE,Facebook Ads
2512509,tenwords_1w_7.99_7free,FALSE,2020-09-24,US,Facebook Ads
2310563,tenwords_1w_9.99_offer,FALSE,2020-08-30,CA,Facebook Ads
2310563,tenwords_1w_9.99_offer,FALSE,2020-08-23,CA,Facebook Ads
2151757,tenwords_1w_7.99_7free,FALSE,2020-09-01,US,Facebook Ads
2151757,tenwords_1w_7.99_7free,FALSE,2020-08-25,US,Facebook Ads
2151757,tenwords_1w_7.99_7free,FALSE,2020-08-18,US,Facebook Ads
2151757,tenwords_1w_7.99_7free,FALSE,2020-08-11,US,Facebook Ads
2151757,tenwords_1w_7.99_7free,FALSE,2020-08-04,US,Facebook Ads
2313453,tenwords_1w_7.99_7free,FALSE,2020-08-30,US,Facebook Ads
2313453,tenwords_1w_7.99_7free,FALSE,2020-08-23,US,Facebook Ads
2151757,tenwords_1w_7.99_7free,FALSE,2020-07-28,US,Facebook Ads
2331145,tenwords_1w_9.99_offer,FALSE,2020-09-22,CA,Facebook Ads
2173969,tenwords_1w_7.99_7free,FALSE,2020-08-01,US,Facebook Ads
